     seq      time                                             scheduled_show                                  show                        episode                                       artist                                                                    track
65    65   9:09 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                          VIP                                                                 Deceiver
66    66   9:09 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                Ashley Beedle                                                           Your Acid Life
67    67   9:09 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                       RuPaul                                                           Call Me Mother
68    68   9:19 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                     Annalisa                                                                Mon Amour
69    69   9:22 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                       Rihanna, Calvin Harris                                                This Is What You Came For
70    70   9:26 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                              Yeah Yeah Yeahs                                                                     Zero
71    71   9:31 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                           Cali Swag District                                                   Teach Me How to Dougie
72    72   9:34 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                Mary J. Blige                                                            Family Affair
73    73   9:39 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                         Zapp                                                 More Bounce to the Ounce
74    74   9:39 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                           Erik More Club Mix                               I Like to Move It (feat. The Mad Stuntman)
75    75   9:39 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                       EVM128                                                             Gamma Riddim
76    76   9:51 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                     Doja Cat                                                               Boss Bitch
77    77   9:53 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                        Yelle                                Moteur Action (feat. SOPHIE & A. G. Cook)
78    78   9:57 AM  TWO HOUR MUSIC FUN RADIO FRIEND HOUR / DUAL CASSETTE DECK  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                          M83                                                 Raconte-Moi Une Histoire
79    79  10:01 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                            Michael K. Miller                                      Solid Gold Theme (Season 1 Opening)
80    80  10:02 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                        AC/DC                                              You Shook Me All Night Long
81    81  10:06 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                Guns N' Roses                                                    Welcome To The Jungle
82    82  10:08 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                             Jane's Addiction                                                     Been Caught Stealing
83    83  10:11 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                               Gnarls Barkley                                                                    Crazy
84    84  10:14 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                 Baby Charles                                    I Bet You Look Good On The Dancefloor
85    85  10:18 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                        Lizzo                                                                     Boys
86    86  10:20 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                               Ronnie H Jones                                                              Video Games
87    87  10:24 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                 Sylvian Esso                                                                    Radio
88    88  10:27 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                 Dawn Richard                   Bussifame (Felix Da Housecat x Dave The Hustler Remix)
89    89  10:30 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR                            #84                                   Grace Ives                                                                  Lullaby
90    90  10:35 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                               Edwin Birdsong                                                         Cola Bottle Baby
91    91  10:35 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                               Midnight Magic                                                               Beam Me Up
92    92  10:43 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                   Parliament                          Give Up The Funk (Tear The Roof Off The Sucker)
93    93  10:47 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Queen                                               Another One Bites The Dust
94    94  10:47 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                         KISS                                                I Was Made For Loving You
95    95  10:54 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                             Hot 8 Brass Band                                                  Love Will Tear Us Apart
96    96  10:58 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                 Brother Soul                                                                  Cookies
97    97  11:01 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                 Rubblebucket                                                       Came Out Of A Lady
98    98  11:03 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                   Black Kids                 I'm Not Gonna Teach Your Boyfriend How To Dance With You
99    99  11:03 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday           Orchestral Manoeuveres In The Dark                                                              Electricity
100  100  11:03 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                       Lizzy Mercier Descloux                                                                     Fire
101  101  11:19 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                      Beyonce                                                           Ring The Alarm
102  102  11:22 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                      Robin S                                                             Show Me Love
103  103  11:26 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                       Adonis                                                              No Way Back
104  104  11:30 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                 Danube Dance                             Unique (NY Underground Mix) feat. Kim Cooper
105  105  11:34 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday            Skrillex, Missy Elliott, Mr. Oizo                                                                   RATATA
106  106  11:35 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                              Scissor Sisters                                                        Let's Have A Kiki
107  107  11:38 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Nacai                                                Let's Get Ready To Rumble
108  108  11:38 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Aociz                                                                Shakalaka
109  109  11:42 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                      Tinashe              Die a Little Bit (Feat. Ms Banks & Karnage Kills) KDA Remix
