     seq      time                                  scheduled_show                                        show                                                                           episode                                          artist                                                                                                                                                        track
124  124   3:31 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                            Gene                                                                                                                                                 Fighting Fit
125  125   3:34 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                              Shake Some Action!                                                                                                                              Spend Your Days in the Sunshine
126  126   3:37 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                The Colour Field                                                                                                                                 Can't Get Enough Of You Baby
127  127   3:39 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                      Bistro Boy                                                                                                                                                Colour Arrows
128  128   3:39 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                   Dead Kennedys                                                                                                                                            Too Drunk To Fuck
129  129   3:39 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                               Human Switchboard                                                                                                                                  Who's Landing in My Hangar?
130  130   3:39 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                   Dead Kennedys                                                                                                                                            Too Drunk To Fuck
131  131   3:39 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                            PYPY                                                                                                                                            I Am A Simulation
132  132   3:51 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                         Von Lmo                                                                                                                                              this is poprock
133  133   3:54 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                            Devo                                                                                                                                          Uncontrollable Urge
134  134   3:57 PM                GUNS OR BUTTER with Keith Sawyer                              GUNS OR BUTTER                                                                               #34                                      Bistro Boy                                                                                                                                              Lonely Sparkles
135  135   4:02 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                       Bus Crush                                                                                                                                                   Good to Me
136  136   4:05 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                    Sports Coach                                                                                                                                                      Drifter
137  137   4:09 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                          LUCY (Cooper B. Handy)                                                                                                                                                     2nd Wind
138  138   4:10 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                       THUS LOVE                                                                                                                                                   Get Stable
139  139   4:13 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                         sequela                                                                                                                                                     Zavander
140  140   4:16 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                           Layzi                                                                                                                                              come as you are
141  141   4:19 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                       slow quit                                                                                                                                                         Step
142  142   4:23 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                               #20                                  Drop Nineteens                                                                                                                                                       Daymom
143  143   4:31 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                          Grumpy                                                                                                                                                     Saltlick
144  144   4:33 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                 urika's bedroom                                                                                                                                                  Video Music
145  145   4:35 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                       Hildegard                                                                                                                                          Pour Your Heart Out
146  146   4:38 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                          Molina                                                                                                                                              I am your house
147  147   4:42 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                   Autre Ne Veut                                                                                                                                   Itchy Blood (feat. Solvey)
148  148   4:46 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                         Contour                                                                                                                                                     (re)Turn
149  149   4:49 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                               Fabiana Palladino                                                                                                                                  Can You Look In The Mirror?
150  150   4:52 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                Elias Rønnenfelt                                                                                                                                            Worm Grew A Spine
151  151   4:56 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                          Market                                                                                                                                               Bigger Problem
152  152   4:59 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                   lots of hands                                                                                                                                               game of zeroes
153  153   5:04 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                        Nitefire                                                                                                                                            LA's Got Gorgeous
154  154   5:07 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                           Wishy                                                                                                                                               Planet Popstar
155  155   5:11 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                              Man/Woman/Chainsaw                                                                                                                                                     The Boss
156  156   5:14 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                  Palomino Blond                                                                                                                                                         Left
157  157   5:17 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                    Chime School                                                                                                                                                 Mercury Girl
158  158   5:20 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                      Young Scum                                                                                                                                               See It Through
159  159   5:24 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                 Allegra Krieger                                                                                                                                               Never Arriving
160  160   5:26 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                           Blood                                                                                                                                                     Bone Dry
161  161   5:27 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                   Chastity Belt                                                                                                                                                     That Guy
162  162   5:30 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                            Wisp                                                                                                                       I remember how your hands felt on mine
163  163   5:35 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                    piri & tommy                                                                                                                                              who invited u ?
164  164   5:38 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                     DJ Seinfeld                                                                                                                                                     Hopecore
165  165   5:41 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                          SBTRKT                                                                                                                                       TURN YOUR HEART AROUND
166  166   5:43 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                                       Two Shell                                                                                                                                            be gentle with me
167  167   5:47 PM                     ALLSTON PUDDING with Dillon                             ALLSTON PUDDING                                                                        Talk Break                               George Fitzgerald                                                                                                                                                         Gild
