     seq      time                                             scheduled_show                 show                   episode                                            artist                                                                     track
87    87  11:40 AM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                              Blur                                                             She's So High
88    88  11:45 AM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                            R.E.M.                                            What's The Frequency, Kenneth?
89    89  11:49 AM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                           The The                                                              Dogs of Lust
90    90  11:52 AM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         New Order                                                       Everyone Everywhere
91    91  11:56 AM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                  Jane's Addiction                                                      Been Caught Stealing
92    92  12:00 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                               The Dave Clark Five                                                       Catch Us If You Can
93    93  12:02 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                   Thurston Harris                                                   Little Bitty Pretty One
94    94  12:04 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                     Tommy Ridgley                                                                    Jam Up
95    95  12:07 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                       The Gentrys                                         Keep On Dancing (Live on Shindig)
96    96  12:09 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                      Chris Montez                                                               Let's Dance
97    97  12:11 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                       Jorgen Ingmann & His Guitar                                                                    Apache
98    98  12:14 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         Len Barry                                                                     1-2-3
99    99  12:17 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         Four Tops                                                                Bernadette
100  100  12:20 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                              Young-Holt Unlimited                                                             Soulful Strut
101  101  12:23 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                      Bobby Womack                                                       California Dreamin'
102  102  12:26 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                       Marvin Gaye                                          I Heard It Through The Grapevine
103  103  12:26 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                              Arrested Development                                                                 Mr Wendal
104  104  12:33 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                   Digable Planets    Pacifics (From the Soundtrack to the Motion Picture "N.Y. Is Red Hot")
105  105  12:37 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                     Talking Heads                                               Making Flippy Floppy (Live)
106  106  12:41 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                    Chuck Mangione                                                      Cannonball Run Theme
107  107  12:44 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                     Blackalicious                                                    Make You Feel That Way
108  108  12:48 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                               Echo & The Bunnymen                                                           Lips Like Sugar
109  109  12:52 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                           Siouxsie & The Banshees                                                          Kiss Them for Me
110  110  12:56 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         New Order                                              Sub-culture (Substance Edit)
111  111   1:01 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                      Depeche Mode                                                   Never Let Me Down Again
112  112   1:05 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                        Roxy Music                                                          Love Is the Drug
113  113   1:09 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                       David Bowie                                                                   Starman
114  114   1:14 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                   Joubert Singers                                       Stand On the Word (Larry Levan Mix)
115  115   1:18 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                           Odyssey                                   Going Back to My Roots (Single Version)
116  116   1:21 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                            Steely Dan & Tom Scott                                                                       Peg
117  117   1:25 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                  Nicolette Larson                                                                Lotta Love
118  118   1:28 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                    Linda Ronstadt                                                      When Will I Be Loved
119  119   1:30 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                       Dolly Parton & Kenny Rogers                                                     Islands in the Stream
120  120   1:30 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                             Crosby, Stills & Nash                                                            Southern Cross
121  121   1:39 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                       Cass Elliot                              Make Your Own Kind of Music (Single Version)
122  122   1:42 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         The Kinks                                                      A Well Respected Man
123  123   1:44 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                         Liz Phair                                                      Girls! Girls! Girls!
124  124   1:46 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                    The Third Rail                                                             Run, Run, Run
125  125   1:46 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                        The Leaves                                                           Too Many People
126  126   1:51 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                       The Remains                                                           Don't Look Back
127  127   1:53 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                      The Paragons                                                          The Tide Is High
128  128   1:53 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                               The Lovin' Spoonful                                                        Summer In the City
129  129   1:58 PM                                   FROM THE ARCHIVE with TJ            UNCERTAIN                      #324                                          The 6ths                      Heaven In A Black Leather Jacket (with Robert Scott)
130  130   2:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                             The Lowest Of The Low                                              Bleed a Little While Tonight
131  131   2:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                Bedouin Soundclash                                                                  Gunships
132  132   2:09 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                               Pop Will Eat Itself                                        Home (Sweet Sin And Salvation Mix)
133  133   2:09 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                         Nick Cave & the Bad Seeds                                                           Long Dark Night
134  134   2:14 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                          Slowdive                                                               Star Roving
135  135   2:14 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                        Toro y Moi                                                           Goes By So Fast
136  136   2:23 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                       St. Vincent                                                               Los Ageless
137  137   2:23 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                           Joyride                                                    Aunty Tracey's Cookies
138  138   2:32 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                        Phantogram                                     Black Out Days (Future Islands remix)
139  139   2:36 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                      Depeche Mode                           Happiest Girl (The Pulsating Orbital Vocal Mix)
140  140   2:37 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                        Phantogram                                                            When I'm Small
141  141   2:41 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                      Modern Color                                                               Proxy Dream
