     seq      time                                             scheduled_show                                  show                               episode                                          artist                                                                           track
82    82  11:04 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                Love and Rockets                                                   Haunted When the Minutes Drag
83    83  11:04 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                    Tim Cappello                                                                 I Still Believe
84    84  11:17 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                 Harry Belafonte                                                                Jump in the Line
85    85  11:17 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                          Prince                                                                        Batdance
86    86  11:28 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                Bernard Herrmann                                                             Prelude and Rooftop
87    87  11:28 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                        The Cure                                                                            Burn
88    88  11:28 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                Barbra Streisand                                        Love Theme (From The Eyes of Laura Mars)
89    89  11:42 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                             SSQ                                          Tonight (We'll Make Love Until We Die)
90    90  11:42 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                      The Cramps                                                                           Fever
91    91  11:50 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81              Michael Riesman & The Western Wind                                                                       Music Box
92    92  11:51 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                         Siouxsie & The Banshees                                                                       Halloween
93    93  11:54 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                           The Swimming Pool Q's                                                                      Corruption
94    94  11:59 AM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                     Mick Smiley                                                                           Magic
95    95  12:04 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                               The Lonely Island                                                                       Ras Trent
96    96  12:05 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                     Jimmy Cliff                                               You Can Get It If You Really Want
97    97  12:08 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                        Bob Marley & The Wailers                                                        Iron Lion Zion (New Mix)
98    98  12:11 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                 The Allstonians                                                              B-Train to Allston
99    99  12:14 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                         Madness                                                                       Our House
100  100  12:17 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                        DJ Ray C                                     Shake Your Gigantic Body Down To The Ground
101  101  12:20 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                 Whitney Houston                                                                    So Emotional
102  102  12:25 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                      Superchunk                                                                 Break the Glass
103  103  12:28 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                     The Urinals                                                                       I'm A Bug
104  104  12:29 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                         Battles                                                                       Ddiamondd
105  105  12:31 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                           Death from Above 1979                                                         Right On, Frankenstein!
106  106  12:36 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                  Miss Fairchild                                                                   Foreign Lands
107  107  12:39 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                         Mr. Lif                                                          Status (feat. Insight)
108  108  12:42 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                      Gang Starr                                                                            Work
109  109  12:45 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                          Swooli                                                                  Millennial 20s
110  110  12:48 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                               Michael Christmas                                                                    Michael Cera
111  111  12:51 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                       freezepop                                                                       Starlight
112  112  12:54 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                     Al B. Sure!                                                                    Nite and Day
113  113  12:59 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                    Future Teens                                                                 Same Difference
114  114   1:01 PM                                   FROM THE ARCHIVE with TJ                    DUAL CASSETTE DECK                                   #81                                      Best Coast                                                               When I'm With You
