     seq      time                                             scheduled_show                 show                   episode                              artist                                                track
92    92  12:35 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                           Goldfrapp                                            Ooh La La
93    93  12:38 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                     Yeah Yeah Yeahs                                                 Rich
94    94  12:41 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                                Moby                                      Feeling So Real
95    95  12:45 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                               YACHT                                        The Afterlife
96    96  12:50 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                           Santogold                    I'm A Lady (feat. Trouble Andrew)
97    97  12:53 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                           Liz Phair                                         Divorce Song
98    98  12:57 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        The Vaccines                                      Headphones Baby
99    99   1:00 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        Joy Division                                   She's Lost Control
100  100   1:05 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                             Beyoncé                                        BREAK MY SOUL
101  101   1:09 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                           Bingoboys                                         How To Dance
102  102   1:12 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                            Ladytron                                 Flicking Your Switch
103  103   1:15 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                     Hideo Kobayashi                          Sara Sara (f. Sae Minohara)
104  104   1:18 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                            The Cure                        Hot Hot Hot!!! (Extended Mix)
105  105   1:23 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                Lisa Lisa & Cult Jam                                 Let the Beat Hit 'Em
106  106   1:26 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                       Calvin Harris                               Acceptable In the 80's
107  107   1:30 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81          The Campaign For Real Time                                   Something Is Wrong
108  108   1:33 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                               Taffy                      I Love My Radio (Radio Version)
109  109   1:37 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                    Frankie Knuckles                                     The Whistle Song
110  110   1:37 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81     Yazz and the Plastic Population                      The Only Way Is Up (7" Version)
111  111   1:47 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81         Jon Spencer Blues Explosion                                          Bellbottoms
112  112   1:47 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                        Ren & Stimpy                          Captain's Log/Space Madness
113  113   1:47 PM                                   FROM THE ARCHIVE with TJ   DUAL CASSETTE DECK                       #81                The Apples In Stereo                                          Mellotron 2
114  114   2:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                          Buddy Rich                                        Groovin' Hard
115  115   2:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                           Brian Eno                               Put A Straw Under Baby
116  116   2:09 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30           Brian Eno and David Byrne                                             Regiment
117  117   2:13 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                            Galactic                              Denny's Village Rundown
118  118   2:15 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                        Art of Noise                         Art of Love (7 inch edition)
119  119   2:19 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                             The Orb                                             Outlands
120  120   2:19 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                 A Guy Called Gerald                                           Voodoo Ray
121  121   2:31 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30         PUBLIC SERVICE BROADCASTING                                             Spitfire
122  122   2:31 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                             Soulwax                                            NY Excuse
123  123   2:31 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                 Meat Beat Manifesto                                        Radio Babylon
