     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
59    59  11:53 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                The Levellers                                                The Game
60    60  11:58 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Colleen Green                                                      TV
61    61  12:01 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Hot Chip                                            Transmission
62    62  12:04 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     The 6ths                 Movies In My Head (with Georgia Hubley)
63    63  12:09 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                        Belle &amp; Sebastian                        Get Me Away from Here, I’m Dying
64    64  12:13 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Stereolab                                  Emperor Tomato Ketchup
65    65  12:16 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  The Strokes                                              Is This It
66    66  12:21 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Iggy Pop                                            Cry For Love
67    67  12:23 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Alice Cooper                                      Clones (We're All)
68    68  12:30 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      The Who                                     I Can See For Miles
69    69  12:31 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     The Cure                                                 Primary
70    70  12:34 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                           U2                              Until the End of the World
71    71  12:38 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                        Björk                                          Venus as a Boy
72    72  12:42 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS            Edie Brickell &amp; New Bohemians                                               What I Am
73    73  12:47 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               Thompson Twins                                    Lay Your Hands On Me
74    74  12:55 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Davíd Garza                                        Disco Ball World
75    75  12:56 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     The Cure                                             Icing Sugar
76    76  12:59 AM                                                    unknown  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Sonic Youth                                           Teen Age Riot
77    77   1:03 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                         Ride                                            Kaleidoscope
78    78   1:10 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Toadies                                         I'm Not In Love
79    79   1:12 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Modest Mouse                                      Convenient Parking
80    80   1:17 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 The Gun Club                                                Sex Beat
81    81   1:21 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             Guided By Voices  Everyone Thinks I'm a Raincloud (When I'm Not Looking)
82    82   1:24 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             The Replacements                                       Bastards of Young
83    83   1:30 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Bauhaus                       All We Ever Wanted Was Everything
84    84   1:31 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Tom Novotny                                                   Kevin
