     seq                           show                                        episode                               artist                                                                track
114  114                ALLSTON PUDDING                                     Talk Break                          Yo La Tengo                                              Barnaby, Hardly Working
115  115                ALLSTON PUDDING                                     Talk Break                         Peter Murphy                                            Indigo Eyes (Single Edit)
116  116                ALLSTON PUDDING                                     Talk Break                         The Go! Team                                                  Bull In The Heather
117  117                ALLSTON PUDDING                                     Talk Break           Shane MacGowan & The Popes                                       Haunted (with Sinéad O'Connor)
118  118                ALLSTON PUDDING                                     Talk Break                          Roy Orbison                                                            In Dreams
119  119                ALLSTON PUDDING                                     Talk Break             The Airborne Toxic Event                                             Sometime Around Midnight
120  120                ALLSTON PUDDING                                     Talk Break                           Billy Joel                                                         The Stranger
121  121                ALLSTON PUDDING                                     Talk Break                           Elton John                            I Guess That's Why They Call It The Blues
122  122                ALLSTON PUDDING                                     Talk Break                      LCD Soundsystem                                                       Losing My Edge
123  123                ALLSTON PUDDING                                     Talk Break                      sleepmakeswaves                                                            Verdigris
124  124                ALLSTON PUDDING                                     Talk Break                       The Fever Haze                                                    How Lucky My Eyes
125  125                ALLSTON PUDDING                                     Talk Break                        Computer Kill                                                        Sing and Play
126  126                ALLSTON PUDDING                                     Talk Break                          Lesser Care                                                        Something New
127  127                ALLSTON PUDDING                                     Talk Break                         Mark E. Moon                                                             Daylight
128  128                ALLSTON PUDDING                                     Talk Break                           Urban Heat                                                        Say the Words
129  129                ALLSTON PUDDING                                     Talk Break                       The Sweet Kill                                                              Creeper
130  130                ALLSTON PUDDING                                     Talk Break                            Swan Wash                                                   Lights Are Outside
131  131                ALLSTON PUDDING                                     Talk Break                               VR SEX                                                    Jenny Killer Glue
132  132                ALLSTON PUDDING                                     Talk Break                            COLD EYES                                                     Take It All Back
133  133                ALLSTON PUDDING                                     Talk Break                      Don't Get Lemon                                                Pomp And Circumstance
134  134                ALLSTON PUDDING                                     Talk Break                         Molchat Doma                                                        Belaya Polosa
135  135                ALLSTON PUDDING                                     Talk Break                             SPECTRES                                                           Real World
136  136                ALLSTON PUDDING                                     Talk Break                       Locust Revival                                                           Fleshworld
137  137                ALLSTON PUDDING                                     Talk Break                        Russian Baths                                                                 Pair
138  138                ALLSTON PUDDING                                     Talk Break                               Pixies                                                       Crackity Jones
139  139             PLAYING AT SHADOWS                     Initializing broadcast #50                          David Bowie                                                    Where Are We Now?
140  140             PLAYING AT SHADOWS                     Initializing broadcast #50                          Angel Olsen                                                               Sister
141  141             PLAYING AT SHADOWS                     Initializing broadcast #50                                 Beck                                                        Beautiful Way
142  142             PLAYING AT SHADOWS                     Initializing broadcast #50                 Two Door Cinema Club                                                  Do You Want It All?
143  143             PLAYING AT SHADOWS                     Initializing broadcast #50                          St. Vincent                                                        Strange Mercy
144  144             PLAYING AT SHADOWS                     Initializing broadcast #50                         Phil Collins                                                         Take Me Home
145  145             PLAYING AT SHADOWS                     Initializing broadcast #50                                 ABBA                                                         Under Attack
146  146             PLAYING AT SHADOWS                                        (BREAK)                        Joni Mitchell                                                       Both Sides Now
147  147             PLAYING AT SHADOWS                                        (BREAK)                Crosby, Stills & Nash                                                Suite: Judy Blue Eyes
148  148             PLAYING AT SHADOWS                                        (BREAK)                                Queen                                                      Love Of My Life
149  149             PLAYING AT SHADOWS                                        (BREAK)                          The Zombies                                                   Time of the Season
150  150             PLAYING AT SHADOWS                                        (BREAK)                      Johnny Hallyday                                                        San Francisco
151  151             PLAYING AT SHADOWS                                        (BREAK)                      The Stone Roses                                                           Fools Gold
152  152             PLAYING AT SHADOWS                                        (BREAK)                         Paul van Dyk                          Nothing but You (feat. Hemstock & Jennings)
153  153             PLAYING AT SHADOWS                                        (BREAK)                             Röyksopp                                                    Dead to the World
154  154             PLAYING AT SHADOWS                                        (BREAK)                        Class Actress                                                              Weekend
155  155             PLAYING AT SHADOWS                                        (BREAK)                             Lemonade                                                            Whitecaps
156  156             PLAYING AT SHADOWS                                        (BREAK)                           Com Truise                                                              Air Cal
157  157             PLAYING AT SHADOWS                                        (BREAK)                   The Japanese House                                             went to meet her (intro)
158  158             PLAYING AT SHADOWS                                        (BREAK)                   The Japanese House                                              Maybe You're the Reason
159  159             PLAYING AT SHADOWS                                        (BREAK)                    Sébastien Tellier                                                       La ritournelle
160  160             PLAYING AT SHADOWS                                        (BREAK)                           Rilo Kiley                                                        Silver Lining
161  161             PLAYING AT SHADOWS                                        (BREAK)                              MIDI-96                                            CANYON.MID (OPL3 version)
162  162             PLAYING AT SHADOWS                                        (BREAK)                         Led Zeppelin                                                              Kashmir
163  163             PLAYING AT SHADOWS                                        (BREAK)                          Japandroids                                                           Arc Of Bar
164  164             PLAYING AT SHADOWS                                        (BREAK)                         Harry Styles                                                     Watermelon Sugar
165  165             PLAYING AT SHADOWS                                        (BREAK)                          Will Powers                                                Adventures In Success
166  166             PLAYING AT SHADOWS                                        (BREAK)                              Dr. Dre                              Nuthin' But A "G" Thang (f. Snoop Dogg)
167  167             PLAYING AT SHADOWS                                        (BREAK)                              OutKast                                              Ms. Jackson (Radio Mix)
168  168             PLAYING AT SHADOWS                                        (BREAK)                Killer Mike & Big Boi                                                         A.D.I.D.A.S.
169  169             PLAYING AT SHADOWS                                        (BREAK)                          Sofi Tukker                                                           Purple Hat
170  170             PLAYING AT SHADOWS                                        (BREAK)     DJ Jazzy Jeff & The Fresh Prince                                    Summertime '98 (Soul Power Remix)
171  171             PLAYING AT SHADOWS                                        (BREAK)               Post Malone & Swae Lee                        Sunflower (Spider-Man: Into the Spider-Verse)
172  172             PLAYING AT SHADOWS                                        (BREAK)                      Whitney Houston                                                 Greatest Love Of All
173  173             PLAYING AT SHADOWS                                        (BREAK)                          Fred Rogers                              It's Such a Good Feeling (Weekend Song)
174  174             PLAYING AT SHADOWS                                        (BREAK)                          Cynthia Fee                    The Golden Girls ("Thank You For Being A Friend")
175  175             PLAYING AT SHADOWS                                        (BREAK)                          Cass Elliot                         Make Your Own Kind of Music (Single Version)
176  176             PLAYING AT SHADOWS                                        (BREAK)                              The Who                                                         Baba O'Riley
177  177             PLAYING AT SHADOWS                                        (BREAK)                         The Specials                                                           Ghost Town
178  178             PLAYING AT SHADOWS                                        (BREAK)                             Hot Karl                         Let's Talk (feat. MC Serch) [feat. MC Serch]
179  179             PLAYING AT SHADOWS                                        (BREAK)                               Afu-Ra                                                           God of Rap
180  180             PLAYING AT SHADOWS                                        (BREAK)                        Soul Hooligan                                                              Algebra
181  181             PLAYING AT SHADOWS                                        (BREAK)                        Radio Citizen                                                The Hop (feat. Bajka)
182  182             PLAYING AT SHADOWS                                        (BREAK)                           Craig Mack                                      Flava In Ya Ear (Album Version)
183  183             PLAYING AT SHADOWS                                        (BREAK)                       Desmond Dekker                                                    007 (Shanty Town)
184  184             PLAYING AT SHADOWS                                        (BREAK)                           Lily Allen                                                                Smile
185  185             PLAYING AT SHADOWS                                        (BREAK)                          Billy Bragg                                        Greetings to the New Brunette
186  186             PLAYING AT SHADOWS                                        (BREAK)                         Michael Penn                                                              No Myth
